team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Lulli XI,w,36,37,Stones,0,Gusto,13,-13
Lulla XI,f,36,37,Castagne,0,Quansah,9,-9
Lulli XI,w,36,37,Wilson,0,Solanke,6,-6
Walid Sb,w,36,37,Bailey,2,Johnson,7,-5
Lulla XI,f,36,37,A.Becker,1,Henderson,3,-2
Walid Sb,w,36,37,Ortega Moreno,2,Petrović,3,-1
Dandandania,w,36,37,Virgil,1,Mitchell,2,-1
Lulla XI,f,36,37,G.Jesus,1,Foster,2,-1
Lulla XI,f,36,37,Digne,1,Zinchenko,0,1
Lulli XI,w,36,37,Bruno G.,4,Rashford,1,3
Walid Sb,f,36,37,Chalobah,3,E.Royal,0,3
Bald is Best,f,36,37,Kudus,5,Odobert,2,3
Lulla XI,w,36,37,Branthwaite,6,T.Silva,2,4
Lulli XI,w,36,37,Rodrigo,6,Hee Chan,2,4
Dandandania,f,36,37,Tarkowski,9,Senesi,4,5
Masala Pan FC,w,36,37,Gakpo,6,Darwin,1,5
Dandandania,w,36,37,Gabriel,7,Trippier,2,5
Walid Sb,w,36,37,Diaby,5,Richarlison,0,5
Masala Pan FC,w,36,37,João Pedro,5,Werner,0,5
Dandandania,w,36,37,Gibbs-White,9,Kulusevski,3,6
Dandandania,f,36,37,Olise,12,Andreas,2,10
Walid Sb,w,36,37,Akanji,12,Disasi,0,12
