team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Dandandania,w,14,15,Wissa,0,Raúl,13,-13
Lulli XI,w,14,15,Gibbs-White,1,A.Doucoure,9,-8
Masala Pan FC,f,14,15,Flekken,2,Neto,8,-6
Walid Sb,f,14,15,Ajer,0,Ward,2,-2
Walid Sb,w,14,15,Cash,0,N.Aguerd,2,-2
Dandandania,w,14,15,Aké,0,Coufal,2,-2
Bald is Best,w,14,15,Matip,0,Estupiñan,0,0
Walid Sb,w,14,15,Olise,2,Johnson,2,0
Lulli XI,w,14,15,Ferguson,1,Wood,1,0
Lulla XI,w,14,15,João Pedro,2,Højlund,2,0
Bald is Best,w,14,15,Wilson,0,Nketiah,0,0
Lulla XI,w,14,15,Elanga,2,Gallagher,0,2
Dandandania,w,14,15,Garnacho,4,Adingra,2,2
Bald is Best,w,14,15,Almirón,2,Doku,0,2
Masala Pan FC,f,14,15,Pau,6,Lascelles,1,5
Lulla XI,w,14,15,Mykolenko,6,Guéhi,1,5
Dandandania,w,14,15,Gross,12,Diogo J.,0,12
