team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Lulla XI,w,19,20,Townsend,2,Bailey,8,-6
Walid Sb,f,19,20,Gusto,0,Castagne,2,-2
Dandandania,w,19,20,Archer,1,Calvert-Lewin,2,-1
Walid Sb,w,19,20,Rúben,1,Diego Carlos,1,0
Walid Sb,w,19,20,L.Paquetá,0,Adingra,0,0
Lulla XI,w,19,20,Wood,2,Mateta,2,0
Bald is Best,w,19,20,Schär,0,Coufal,0,0
Lulli XI,w,19,20,Pinnock,1,Alex Moreno,1,0
Bald is Best,w,19,20,Gomez,1,White,1,0
Dandandania,w,19,20,Andersen,2,Livramento,0,2
Dandandania,w,19,20,Bernardo,3,Kluivert,1,2
Lulli XI,f,19,20,Gvardiol,6,Pinnock,1,5
Walid Sb,f,19,20,Estupiñan,6,Lascelles,1,5
Lulli XI,w,19,20,Johnson,6,Mitoma,0,6
Dandandania,f,19,20,Emerson,6,Tarkowski,0,6
Lulla XI,w,19,20,Doughty,9,Robinson,2,7
