team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Masala Pan FC,w,33,34,Estupiñan,0,Tarkowski,13,-13
Lulla XI,f,33,34,Emerson,-2,Gvardiol,6,-8
Bald is Best,w,33,34,Dalot,1,Zabarnyi,7,-6
Masala Pan FC,w,33,34,Watkins,9,Wissa,13,-4
Masala Pan FC,w,33,34,Ward-Prowse,2,Bernardo,6,-4
Lulla XI,w,33,34,McBurnie,2,Antonio,5,-3
Masala Pan FC,f,33,34,Maguire,12,Walker,14,-2
Lulli XI,w,33,34,Hee Chan,2,Mac Allister,3,-1
Walid Sb,w,33,34,Stones,0,Burn,1,-1
Lulla XI,w,33,34,R.Lewis,1,O'Shea,2,-1
Dandandania,w,33,34,Maddison,0,Tavernier,0,0
Dandandania,f,33,34,Jensen,3,Martinelli,2,1
Walid Sb,f,33,34,Chalobah,1,Disasi,0,1
Dandandania,w,33,34,Gross,2,Doku,1,1
Masala Pan FC,w,33,34,Collins,2,Coufal,0,2
Lulli XI,f,33,34,A.Becker,5,Dubravka,2,3
Bald is Best,w,33,34,G.Jesus,6,João Pedro,2,4
Lulli XI,w,33,34,J.Alvarez,6,N.Jackson,2,4
Lulli XI,f,33,34,Calvert-Lewin,8,Beto,1,7
Walid Sb,w,33,34,Reguilón,7,Cucurella,-1,8
Walid Sb,w,33,34,Diogo J.,12,Barnes,2,10
Dandandania,w,33,34,Trossard,14,Gibbs-White,2,12
Lulli XI,f,33,34,Olise,13,Richarlison,0,13
Walid Sb,f,33,34,Mateta,29,Semenyo,10,19
