team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Masala Pan FC,f,30,31,Tarkowski,1,Zinchenko,9,-8
Lulla XI,w,30,31,Kiwior,0,Collins,8,-8
Lulli XI,w,30,31,Gusto,0,Ajer,6,-6
Walid Sb,w,30,31,Cunha,1,Duran,7,-6
Masala Pan FC,f,30,31,Ward-Prowse,2,Hudson-Odoi,7,-5
Lulli XI,w,30,31,Mac Allister,10,Gibbs-White,13,-3
Lulla XI,w,30,31,Stones,0,Udogie,2,-2
Dandandania,f,30,31,Gomez,2,Robertson,4,-2
Bald is Best,w,30,31,Castagne,0,Kerkez,1,-1
Masala Pan FC,f,30,31,Rice,1,Ward-Prowse,2,-1
Walid Sb,w,30,31,Petrović,1,Sels,2,-1
Masala Pan FC,f,30,31,Bernardo,2,Jensen,3,-1
Dandandania,f,30,31,Aké,0,Cash,0,0
Lulli XI,w,30,31,Richarlison,1,Douglas Luiz,1,0
Lulli XI,w,30,31,Dubravka,2,Kaminski,2,0
Dandandania,w,30,31,J.Alvarez,2,Morris,2,0
Walid Sb,w,30,31,Disasi,1,Reguilón,1,0
Masala Pan FC,f,30,31,Andersen,1,Lenglet,0,1
Walid Sb,f,30,31,Van de Ven,1,Drăgușin,0,1
Walid Sb,w,30,31,Rúben,2,Doughty,1,1
Dandandania,f,30,31,J.Ayew,3,Barkley,2,1
Walid Sb,f,30,31,Mitchell,2,Pau,0,2
Lulla XI,w,30,31,Mateta,2,Ogbene,0,2
Bald is Best,w,30,31,Williams,2,Cresswell,0,2
Masala Pan FC,f,30,31,Zinchenko,9,Roerslev,6,3
Bald is Best,w,30,31,Semenyo,3,Awoniyi,0,3
Lulli XI,f,30,31,Pickford,3,Martinez,0,3
Lulla XI,w,30,31,Neto,7,Vicario,3,4
Dandandania,w,30,31,Johnson,9,Kulusevski,1,8
