added,element_in,element_out,entry,event,id,index,kind,priority,result,gw,id:1,out_pts,in_pts,element_in_name,element_out_name,diff
2023-11-11T10:24:25.667204Z,25,112,218961,12,25326979,,f,,a,13,112,2,7,Tomiyasu,Pinnock,5
2023-11-09T23:30:09.592949Z,122,134,218961,12,24888083,6.0,w,4.0,a,13,134,9,1,Adingra,Gross,-8
2023-11-11T10:20:17.015213Z,540,216,218961,12,25326489,,f,,a,13,216,6,3,Rice,Sterling,-3
2023-11-10T04:32:05.297478Z,688,226,218851,12,24976548,7.0,w,1.0,a,13,226,1,10,Kudus,Eze,9
2023-11-10T06:06:58.508607Z,5,368,249496,12,25000049,2.0,w,1.0,a,13,368,0,6,Gabriel,Stones,6
2023-11-10T10:23:59.634807Z,567,402,230738,12,25172725,10.0,w,1.0,a,13,402,6,0,Neto,Almirón,-6
2023-11-10T04:32:05.297555Z,131,506,218851,12,24976549,14.0,w,2.0,a,13,506,5,0,Estupiñan,Pedro Porro,-5
2023-11-10T22:11:01.297488Z,450,567,230738,12,25294811,,f,,a,13,567,0,2,Johnson,Neto,2
2023-11-11T01:51:34.734066Z,31,638,229056,12,25303915,,f,,a,13,638,0,9,Zinchenko,Van de Ven,9
2023-11-07T07:18:20.068283Z,258,119,229056,12,24189082,11.0,w,2.0,a,13,119,2,1,Maupay,Wissa,-1
2023-11-10T10:23:59.634858Z,632,302,230738,12,25172726,15.0,w,2.0,a,13,302,0,2,Livramento,Konaté,2
2023-11-07T07:18:20.068227Z,377,395,229056,12,24189081,1.0,w,1.0,a,13,395,0,12,Dalot,R.Varane,12
2023-11-10T06:06:58.508658Z,501,509,249496,12,25000050,12.0,w,2.0,a,13,509,0,2,Kulusevski,Richarlison,2
2023-11-07T07:18:20.068305Z,265,584,229056,12,24189083,16.0,w,3.0,a,13,584,8,1,Tarkowski,Pau,-7
2023-11-10T05:33:08.390991Z,401,528,219160,12,24990650,9.0,w,2.0,a,13,528,1,1,Wan-Bissaka,Coufal,0
2023-11-10T10:23:59.634901Z,508,572,230738,12,25172728,22.0,w,4.0,a,13,572,1,0,Reguilón,N.Semedo,-1
