team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Masala Pan FC,w,6,7,Johnson,0,Almirón,10,-10
Dandandania,w,6,7,Lamptey,0,Cash,6,-6
Lulla XI,w,6,7,Flekken,2,Areola,6,-4
Dandandania,w,6,7,Nketiah,5,Foster,9,-4
Dandandania,f,6,7,Amdouni,2,Nketiah,5,-3
Lulli XI,w,6,7,Martinez,0,Boly,2,-2
Walid Sb,f,6,7,Adingra,1,March,2,-1
Dandandania,w,6,7,Gabriel,6,Pedro Porro,7,-1
Walid Sb,f,6,7,José Sá,4,Kaminski,4,0
Dandandania,w,6,7,Gross,0,De Cordova-Reid,0,0
Lulli XI,w,6,7,Doku,1,Gibbs-White,1,0
Bald is Best,w,6,7,Trossard,0,Schade,0,0
Dandandania,f,6,7,Eriksen,1,Gross,0,1
Bald is Best,w,6,7,Digne,1,Walker,0,1
Lulla XI,w,6,7,João Pedro,4,Wissa,2,2
Lulla XI,w,6,7,Ream,1,Matip,-1,2
Lulli XI,f,6,7,Pinnock,2,Martinez,0,2
Dandandania,f,6,7,Neto,4,Solomon,1,3
Masala Pan FC,w,6,7,Cunha,5,Raúl,1,4
Walid Sb,w,6,7,Raya,6,Ramsdale,0,6
Masala Pan FC,w,6,7,Mitchell,6,Henry,0,6
Lulli XI,w,6,7,Burn,6,Stones,0,6
