team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Lulli XI,w,35,36,Van de Ven,-1,Muñoz,13,-14
Masala Pan FC,f,35,36,Gross,2,Rice,14,-12
Lulli XI,w,35,36,Gallagher,8,Olise,16,-8
Dandandania,f,35,36,Andreas,3,Rodrigo,10,-7
Lulli XI,w,35,36,Walker,2,Gabriel,7,-5
Walid Sb,f,35,36,Calvert-Lewin,8,Gakpo,12,-4
Dandandania,f,35,36,Mudryk,3,Gibbs-White,7,-4
Walid Sb,w,35,36,Johnson,5,Brereton Díaz,8,-3
Bald is Best,w,35,36,Cunha,2,G.Jesus,4,-2
Walid Sb,f,35,36,E.Royal,-1,Virgil,1,-2
Lulli XI,w,35,36,Maddison,1,Mac Allister,2,-1
Lulla XI,f,35,36,Henderson,6,Verbruggen,6,0
Walid Sb,w,35,36,Sterling,0,Diogo J.,0,0
Bald is Best,w,35,36,Romero,0,Udogie,0,0
Bald is Best,w,35,36,Odobert,2,Kudus,2,0
Dandandania,w,35,36,Morris,2,Semenyo,2,0
Masala Pan FC,f,35,36,Aït-Nouri,0,Estupiñan,0,0
Walid Sb,f,35,36,L.Paquetá,1,Sterling,0,1
Dandandania,f,35,36,Kulusevski,2,J.Ayew,1,1
Lulli XI,w,35,36,Dubravka,3,A.Becker,2,1
Lulla XI,f,35,36,Quansah,1,Konaté,0,1
Masala Pan FC,f,35,36,Bernardo,2,Doku,1,1
Walid Sb,w,35,36,Burn,2,Kerkez,0,2
Dandandania,w,35,36,Mbeumo,3,Martinelli,1,2
Lulla XI,f,35,36,Foster,2,McBurnie,0,2
Dandandania,f,35,36,Aké,2,Gomez,0,2
Lulla XI,f,35,36,Cucurella,5,Bradley,0,5
Lulla XI,f,35,36,Andersen,6,R.Lewis,0,6
Dandandania,f,35,36,Rodrigo,10,Kluivert,2,8
Walid Sb,f,35,36,Richarlison,9,L.Paquetá,1,8
Walid Sb,w,35,36,Reguilón,8,Mykolenko,0,8
Walid Sb,w,35,36,Madueke,13,Sarabia,1,12
Lulla XI,f,35,36,T.Silva,11,Emerson,-1,12
