team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Walid Sb,w,32,33,Semenyo,0,Watkins,7,-7
Lulla XI,w,32,33,O'Shea,0,Robinson,6,-6
Bald is Best,f,32,33,Robertson,2,Konsa,6,-4
Dandandania,f,32,33,Tavernier,0,Gross,3,-3
Dandandania,f,32,33,Van de Ven,-1,Akanji,2,-3
Dandandania,f,32,33,Morris,2,J.Alvarez,5,-3
Lulli XI,w,32,33,Rodrigo,0,Sterling,0,0
Lulla XI,w,32,33,Antonio,2,Mateta,2,0
Walid Sb,w,32,33,L.Paquetá,1,Maddison,1,0
Lulli XI,w,32,33,Beto,2,G.Jesus,2,0
Walid Sb,w,32,33,Disasi,0,Tomiyasu,0,0
Lulla XI,w,32,33,Zinchenko,1,Kiwior,0,1
Bald is Best,w,32,33,Wood,2,Gakpo,1,1
Bald is Best,w,32,33,Konsa,6,Dalot,1,5
Walid Sb,w,32,33,Petrović,6,Kelleher,0,6
Walid Sb,w,32,33,Cucurella,10,Quansah,0,10
Lulla XI,w,32,33,Gvardiol,12,Stones,0,12
Dandandania,f,32,33,Doku,16,J.Ayew,1,15
