team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Dandandania,f,5,6,De Cordova-Reid,3,Neto,9,-6
Dandandania,w,5,6,Foster,0,Cunha,2,-2
Masala Pan FC,w,5,6,Turner,1,José Sá,3,-2
Masala Pan FC,w,5,6,Ansu Fati,1,J.Ayew,2,-1
Lulli XI,w,5,6,Aurier,0,N.Aguerd,1,-1
Bald is Best,w,5,6,James,0,Emerson,1,-1
Walid Sb,w,5,6,Kaminski,2,Flekken,2,0
Dandandania,w,5,6,Solomon,1,Sarr,1,0
Bald is Best,f,5,6,Schade,0,Grealish,0,0
Lulla XI,w,5,6,Matip,2,Pinnock,1,1
Lulli XI,f,5,6,Boly,1,Aurier,0,1
Dandandania,w,5,6,Edouard,2,Nketiah,1,1
Dandandania,w,5,6,T.Silva,2,Collins,1,1
Dandandania,w,5,6,Szoboszlai,2,Gross,0,2
Bald is Best,w,5,6,L.Paquetá,3,Richarlison,1,2
Lulli XI,w,5,6,Gibbs-White,1,Rodrigo,-2,3
Lulli XI,w,5,6,Wilson,6,Antonio,2,4
Lulli XI,w,5,6,Martinez,6,Steele,0,6
