team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Lulli XI,w,17,18,A.Doucoure,0,Gibbs-White,5,-5
Walid Sb,f,17,18,Harrison,2,Olise,6,-4
Lulli XI,w,17,18,Grealish,0,Mitoma,2,-2
Walid Sb,f,17,18,Petrovic,2,José Sá,3,-1
Walid Sb,w,17,18,Adingra,1,Garnacho,2,-1
Dandandania,f,17,18,Tarkowski,1,Toti,2,-1
Masala Pan FC,f,17,18,Kerkez,0,Roerslev,0,0
Lulla XI,w,17,18,Adebayo,2,Amdouni,2,0
Masala Pan FC,f,17,18,Ferguson,0,Edouard,0,0
Masala Pan FC,w,17,18,Tavernier,2,Havertz,1,1
Dandandania,f,17,18,Rodriguez,1,Wissa,0,1
Walid Sb,f,17,18,Colwill,2,T.Silva,1,1
Walid Sb,f,17,18,T.Silva,1,Stones,0,1
Bald is Best,w,17,18,Konsa,2,James,0,2
Lulli XI,w,17,18,Wilson,2,Maupay,0,2
Lulla XI,w,17,18,Pickford,2,Flekken,0,2
Lulli XI,w,17,18,Disasi,2,Pinnock,0,2
Lulli XI,w,17,18,Martinez,2,Steele,0,2
Lulla XI,w,17,18,Senesi,5,Shaw,0,5
