team,waiver_gw,player_in,player_out,waiver_or_free,next_gw,player_in_pts,player_out_pts,net_pts
Masala Pan FC,3,Semenyo,Ferguson,f,4,1,17,-16
Lulli XI,3,Antonio,Wilson,w,4,2,6,-4
Walid Sb,3,Udogie,Aké,w,4,5,8,-3
Dandandania,3,Bailey,Mac Allister,w,4,1,3,-2
Dandandania,3,Cunha,Darwin,w,4,6,8,-2
Masala Pan FC,3,Van de Ven,Gabriel,w,4,1,2,-1
Lulli XI,3,E.Royal,Zinchenko,w,4,1,2,-1
Masala Pan FC,3,McGinn,Douglas Luiz,w,4,2,2,0
Masala Pan FC,3,Sarabia,Tonali,w,4,1,1,0
Bald is Best,3,Dalot,Pau,w,4,1,1,0
Lulla XI,3,Digne,Wan-Bissaka,w,4,1,1,0
Lulli XI,3,Vicario,Johnstone,w,4,2,1,1
Dandandania,3,Bissouma,Barnes,f,4,2,1,1
Dandandania,3,Ward-Prowse,Gross,w,4,7,3,4
Dandandania,3,Pedro Porro,Shaw,f,4,4,0,4
Lulla XI,3,Romero,Dunk,w,4,7,2,5
Dandandania,3,Neto,Havertz,f,4,10,2,8
