team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Dandandania,w,11,12,Ferguson,0,Solanke,13,-13
Walid Sb,w,11,12,Konaté,0,Zinchenko,10,-10
Bald is Best,w,11,12,Eze,6,L.Paquetá,9,-3
Dandandania,f,11,12,Mitchell,1,Gabriel,2,-1
Lulli XI,w,11,12,Stones,0,Burn,0,0
Dandandania,w,11,12,Pinnock,1,Colwill,0,1
Walid Sb,f,11,12,N.Semedo,2,Estupiñan,0,2
Lulli XI,w,11,12,Szoboszlai,3,Mudryk,1,2
Lulla XI,w,11,12,Awoniyi,6,João Pedro,1,5
Lulla XI,w,11,12,Cunha,5,Foster,0,5
Dandandania,w,11,12,Bernardo,7,Neto,0,7
