team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Lulla XI,w,20,21,Coufal,-2,Burn,4,-6
Lulli XI,f,20,21,Akanji,0,Disasi,5,-5
Lulla XI,w,20,21,José Sá,8,Pickford,9,-1
Walid Sb,f,20,21,Maddison,0,Mudryk,0,0
Dandandania,f,20,21,B.Badiashile,0,Andersen,0,0
Dandandania,f,20,21,Olise,0,Iwobi,0,0
Lulla XI,w,20,21,João Pedro,2,Adebayo,2,0
Lulli XI,w,20,21,Garnacho,2,Almirón,2,0
Walid Sb,w,20,21,Mudryk,0,L.Paquetá,0,0
Lulli XI,w,20,21,Eze,2,Kulusevski,0,2
Lulla XI,w,20,21,Toti,5,Romero,1,4
Lulli XI,w,20,21,White,6,Gvardiol,1,5
Bald is Best,w,20,21,Alex Moreno,7,Digne,0,7
Dandandania,f,20,21,Højlund,11,Archer,1,10
Lulla XI,w,20,21,Diogo J.,19,Townsend,2,17
