team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Dandandania,w,9,10,Aké,0,T.Silva,1,-1
Walid Sb,w,9,10,Dalot,1,Castagne,2,-1
Lulla XI,w,9,10,Foster,0,Awoniyi,1,-1
Lulla XI,w,9,10,Coufal,2,Ream,2,0
Masala Pan FC,f,9,10,R.Varane,0,Robertson,0,0
Dandandania,w,9,10,Mudryk,0,Casemiro,0,0
Masala Pan FC,w,9,10,Pau,2,Disasi,2,0
Lulli XI,w,9,10,Areola,3,Kaminski,2,1
Masala Pan FC,w,9,10,Palmer,2,Ansu Fati,1,1
Dandandania,f,9,10,Gibbs-White,2,Mudryk,0,2
Lulli XI,w,9,10,Tsimikas,6,Colwill,1,5
Masala Pan FC,w,9,10,Darwin,10,Morris,2,8
Dandandania,w,9,10,Szoboszlai,12,A.Doucoure,3,9
Lulli XI,w,9,10,Wilson,13,Cunha,2,11
Bald is Best,f,9,10,Nketiah,17,Broja,0,17
