team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Walid Sb,w,22,23,Sterling,2,Luis Díaz,5,-3
Bald is Best,f,22,23,Stones,0,Konsa,1,-1
Lulla XI,f,22,23,Romero,1,Senesi,1,0
Masala Pan FC,w,22,23,Mykolenko,1,Roerslev,1,0
Walid Sb,w,22,23,Schär,0,Gusto,0,0
Dandandania,w,22,23,Diaby,1,Olise,1,0
Lulla XI,f,22,23,Tarkowski,1,Coufal,1,0
Masala Pan FC,w,22,23,Van de Ven,1,Tosin,1,0
Masala Pan FC,w,22,23,Rodrigo,2,Kulusevski,1,1
Lulli XI,w,22,23,Gakpo,1,Ings,0,1
Walid Sb,w,22,23,Nkunku,2,Broja,1,1
Lulla XI,f,22,23,Pickford,2,José Sá,1,1
Dandandania,w,22,23,Mitchell,0,Konaté,-2,2
Lulli XI,w,22,23,Gvardiol,2,Botman,0,2
Lulli XI,w,22,23,Chilwell,0,Disasi,-2,2
Bald is Best,f,22,23,Shaw,6,Gomez,0,6
