team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Lulla XI,w,18,19,Mateta,2,João Pedro,16,-14
Walid Sb,f,18,19,Neto,0,Mudryk,8,-8
Bald is Best,f,18,19,Toney,0,Højlund,7,-7
Dandandania,f,18,19,Kluivert,8,Bernardo,13,-5
Lulla XI,w,18,19,Burn,0,N.Semedo,2,-2
Walid Sb,f,18,19,Castagne,1,Colwill,1,0
Walid Sb,w,18,19,Diego Carlos,0,Rúben,0,0
Dandandania,f,18,19,Gross,2,Johnson,2,0
Masala Pan FC,w,18,19,Cash,0,Pau,0,0
Lulli XI,w,18,19,Mitoma,0,A.Doucoure,0,0
Lulli XI,f,18,19,Alex Moreno,0,Tsimikas,0,0
Masala Pan FC,w,18,19,Tosin,1,Dalot,1,0
Dandandania,f,18,19,Livramento,1,Mee,0,1
Walid Sb,f,18,19,Mudryk,8,Harrison,7,1
Lulli XI,w,18,19,Botman,1,Schär,0,1
Bald is Best,f,18,19,Coufal,6,Maguire,0,6
Dandandania,f,18,19,Wissa,7,Rodriguez,0,7
Bald is Best,f,18,19,Areola,10,Sanchez,0,10
