team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Walid Sb,f,31,32,Tomiyasu,1,Van de Ven,11,-10
Walid Sb,f,31,32,Barnes,1,Bailey,5,-4
Bald is Best,f,31,32,Ferguson,0,Semenyo,2,-2
Dandandania,w,31,32,Gibbs-White,1,Iwobi,2,-1
Lulli XI,w,31,32,G.Jesus,5,Wood,6,-1
Walid Sb,w,31,32,Sarabia,7,L.Paquetá,8,-1
Bald is Best,f,31,32,N.Semedo,1,Castagne,2,-1
Dandandania,f,31,32,Roerslev,1,Kaboré,2,-1
Lulla XI,w,31,32,Ajer,1,Konsa,1,0
Bald is Best,f,31,32,João Pedro,1,Antonio,1,0
Walid Sb,w,31,32,Kelleher,2,Petrović,2,0
Bald is Best,f,31,32,Zabarnyi,1,Alex Moreno,1,0
Walid Sb,w,31,32,Quansah,1,Disasi,1,0
Bald is Best,f,31,32,Martinez,1,Johnstone,0,1
Dandandania,f,31,32,Akanji,1,Aké,0,1
Bald is Best,f,31,32,José Sá,1,Areola,0,1
Bald is Best,f,31,32,Gakpo,1,Ferguson,0,1
Lulla XI,f,31,32,Verbruggen,2,A.Becker,0,2
Lulli XI,w,31,32,Aït-Nouri,4,Romero,2,2
Bald is Best,f,31,32,Udogie,2,Williams,0,2
Bald is Best,f,31,32,Vicario,4,Martinez,1,3
Walid Sb,w,31,32,Burn,6,Mitchell,0,6
