team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Lulli XI,w,29,,Romero,,Zabarnyi,,
Masala Pan FC,w,29,,Jensen,,Kluivert,,
Lulla XI,w,29,,D.D.Fofana,,Mateta,,
Lulla XI,w,29,,Konsa,,Gusto,,
Masala Pan FC,w,29,,Roerslev,,Van de Ven,,
Lulli XI,w,29,,Wood,,G.Jesus,,
Dandandania,w,29,,Cash,,Smith,,
Walid Sb,w,29,,Sels,,Neto,,
Lulla XI,w,29,,A.Becker,,Petrović,,
Dandandania,w,29,,Kulusevski,,Billing,,
Lulli XI,f,29,,Ajer,,Kiwior,,
Dandandania,w,29,,Iwobi,,Ward-Prowse,,
Bald is Best,f,29,,Antonio,,J.Alvarez,,
Bald is Best,f,29,,Cresswell,,Van Hecke,,
Walid Sb,w,29,,Pau,,Zouma,,
Lulli XI,w,29,,Gibbs-White,,Adingra,,
Walid Sb,f,29,,Ajer,,Rúben,,
Walid Sb,w,29,,Duran,,Semenyo,,
Walid Sb,w,29,,Mbeumo,,Tavernier,,
Walid Sb,f,29,,Reguilón,,Ajer,,
Dandandania,f,29,,Kaboré,,Aké,,
Lulla XI,w,29,,Collins,,Bell,,
Walid Sb,w,29,,Drăgușin,,Mepham,,
