team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Bald is Best,w,2,3,Pau,2,Pedro Porro,6,-4
Lulla XI,w,2,3,Awoniyi,6,Antonio,7,-1
Dandandania,w,2,3,Barnes,1,L.Paquetá,2,-1
Masala Pan FC,f,2,3,Maupay,0,Mitrović,0,0
Lulla XI,w,2,3,Wan-Bissaka,0,Mings,0,0
Dandandania,f,2,3,Collins,2,Mitchell,2,0
Walid Sb,w,2,3,Aké,2,Burn,1,1
Masala Pan FC,w,2,3,Henry,2,Mee,0,2
Lulli XI,w,2,3,Johnstone,2,Arrizabalaga,0,2
Masala Pan FC,f,2,3,Ferguson,2,Maupay,0,2
Masala Pan FC,f,2,3,Douglas Luiz,2,Mudryk,0,2
Dandandania,f,2,3,Mitchell,2,J.Timber,0,2
Masala Pan FC,w,2,3,Edouard,2,Calvert-Lewin,0,2
Masala Pan FC,w,2,3,Tonali,3,Enciso,0,3
Dandandania,w,2,3,Leno,5,Lloris,0,5
Masala Pan FC,w,2,3,Disasi,6,Schär,1,5
Lulli XI,w,2,3,Kulusevski,8,Trossard,1,7
Lulli XI,w,2,3,Rodrigo,10,Bernardo,2,8
Dandandania,w,2,3,Darwin,11,Kane,0,11
Bald is Best,w,2,3,Gusto,14,Webster,1,13
