team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Lulli XI,w,23,,Kulusevski,,Johnson,,
Lulla XI,w,23,,Kilman,,Toti,,
Lulla XI,w,23,,Broja,,João Pedro,,
Lulli XI,f,23,,Jones,,Barkley,,
Lulli XI,w,23,,Luis Díaz,,Douglas Luiz,,
Lulli XI,w,23,,Olise,,Garnacho,,
Lulla XI,w,23,,Robinson,,Tarkowski,,
Lulla XI,w,23,,Bradley,,Colwill,,
Lulli XI,f,23,,Barkley,,Kulusevski,,
Dandandania,f,23,,Cash,,Emerson,,
Walid Sb,w,23,,Bailey,,Sterling,,
Lulla XI,w,23,,Awoniyi,,Wood,,
Lulli XI,w,23,,Maupay,,Gakpo,,
Lulli XI,w,23,,Burn,,White,,
Lulla XI,w,23,,Steele,,Pickford,,
