id,points,total_points,event_transfers,points_on_bench,entry,event
94978,30,30,0,0,249496,1
488188,45,75,0,0,249496,2
946933,54,129,0,0,249496,3
1471213,42,171,0,0,249496,4
1995493,36,207,0,0,249496,5
2519773,63,270,0,0,249496,6
3044053,43,313,0,0,249496,7
3568333,25,338,0,0,249496,8
4089929,57,395,0,0,249496,9
4679744,50,445,0,0,249496,10
5269559,33,478,0,0,249496,11
5859374,26,504,0,0,249496,12
6449189,39,543,0,0,249496,13
6982557,38,581,0,0,249496,14
7572372,42,623,0,0,249496,15
8162187,28,651,0,0,249496,16
8752002,72,723,0,0,249496,17
9341817,37,760,0,0,249496,18
9931632,25,785,0,0,249496,19
10521447,38,823,0,0,249496,20
11111262,68,891,0,0,249496,21
11701077,56,947,0,0,249496,22
12290892,28,975,0,0,249496,23
12880707,38,1013,0,0,249496,24
