id,points,total_points,event_transfers,points_on_bench,entry,event
94977,68,68,0,0,230738,1
488187,56,124,0,0,230738,2
946932,50,174,0,0,230738,3
1471212,68,242,0,0,230738,4
1995492,27,269,0,0,230738,5
2519772,52,321,0,0,230738,6
3044052,63,384,0,0,230738,7
3568332,29,413,0,0,230738,8
4089928,78,491,0,0,230738,9
4679743,78,569,0,0,230738,10
5269558,27,596,0,0,230738,11
5859373,59,655,0,0,230738,12
6449188,32,687,0,0,230738,13
6982556,46,733,0,0,230738,14
7572371,38,771,0,0,230738,15
8162186,36,807,0,0,230738,16
8752001,48,855,0,0,230738,17
9341816,30,885,0,0,230738,18
9931631,44,929,0,0,230738,19
10521446,37,966,0,0,230738,20
11111261,45,1011,0,0,230738,21
11701076,53,1064,0,0,230738,22
12290891,45,1109,0,0,230738,23
12880706,47,1156,0,0,230738,24
13428532,79,1235,0,0,230738,25
14018347,60,1295,0,0,230738,26
14608162,67,1362,0,0,230738,27
15197977,69,1431,0,0,230738,28
15787792,14,1445,0,0,230738,29
16338898,30,1475,0,0,230738,30
16928713,30,1505,0,0,230738,31
17518528,36,1541,0,0,230738,32
