id,points,total_points,event_transfers,points_on_bench,entry,event
94976,52,52,0,0,229056,1
488186,26,78,0,0,229056,2
946931,33,111,0,0,229056,3
1471211,43,154,0,0,229056,4
1995491,28,182,0,0,229056,5
2519771,46,228,0,0,229056,6
3044051,30,258,0,0,229056,7
3568331,47,305,0,0,229056,8
4089927,50,355,0,0,229056,9
4679742,38,393,0,0,229056,10
5269557,42,435,0,0,229056,11
5859372,41,476,0,0,229056,12
6449187,53,529,0,0,229056,13
6982555,32,561,0,0,229056,14
7572370,44,605,0,0,229056,15
8162185,23,628,0,0,229056,16
8752000,46,674,0,0,229056,17
9341815,15,689,0,0,229056,18
9931630,34,723,0,0,229056,19
10521445,52,775,0,0,229056,20
11111260,60,835,0,0,229056,21
11701075,40,875,0,0,229056,22
12290890,33,908,0,0,229056,23
12880705,38,946,0,0,229056,24
13428531,49,995,0,0,229056,25
14018346,15,1010,0,0,229056,26
